list user;UserId;
LIST USER OF ROLE manager;UserId;
list user of role teacher;UserId;
list user of role student;UserId;
LIST USER OF ROLE `teacher`;UserId;
LIST USER OF ROLE `student`;UserId;
LIST USER OF ROLE staff;UserId;
LIST USER OF ROLE same;UserId;
LIST USER OF ROLE role;UserId;
list user of role role01;UserId;
list user of role role02;UserId;
show version;BuildInfo;
show queries;Time;QueryId;DataNodeId;ElapsedTime;
show activation;Usage;
show databases details;MaxDataRegionGroupNum;
select * from root.g1.**;Time;
select * from root.g2.**;Time;
show regions;RegionId;CreateTime;TsFileSize;CompressionRatio;InternalAddress;SeriesSlotNum;DataNodeId;TimeSlotNum;
select * from root.**;root.__audit.password_history._0.password;root.__audit.password_history._0.oldPassword;
select d2.s2 from root.g1;Time;
select g2.d1.s2 from root;Time;
select g2.d2.s1 from root;Time;
select g2.d2.s2 from root;Time;
select pa1.pa2.pa3.pa4.pa5.pa6.pa7.pa8.pa9.pa10.s1 from root.g1;Time;
select p1.pa2.p3.pa4.p5.pa6.p7.pa8.p9.pa10.s1 from root.g1;Time;
select p1.p3.p5.s1 from root.g1;Time;
select pt1.pt2.pt3.pt4.pt5.s1 from root.g1;Time;
select d2.s1 from root.g1;Time;
select d2.** from root.g1;Time;
select d1.s2 from root.g1;Time;
select g2.d1.s1 from root;Time;
show cluster;Version;BuildInfo;
